Year,Month,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),Region
2014,May,6.329032258,3.823655914,4.754838709,5.047311828,29.04516129,31.48709677,26.43225806,8.696774194,34.70322581,South-West
2014,May,8.371111899,5.050413466,6.543452381,7.303253968,28.32372043,32.03548387,25.25272525,6.441935484,29.74967742,West
2014,June,4.382222222,3.276296296,3.66962963,3.965185185,28.95,32.08,26.10333334,6.738333333,34.06333333,Central
2014,June,2.57,1.74,2,2.18,29.53793103,32.66206897,26.92413793,4.74,25.87,Central Business District and Surrounding
2014,June,4.438888889,2.867777778,3.28,3.57,29.345,32.35666667,26.45666667,7.483333334,32.93,East
2014,June,4.620613027,2.874444445,3.50651341,3.954329502,28.81,31.86555556,26.15222222,7.686666667,33.21888889,Islands
2014,June,5.482,4.115,4.698333333,5.066666667,28.67,32.36833333,25.19,6.533333334,29.73571429,North
2014,June,5.243333333,3.553333333,3.973333333,4.386666667,29.58333333,33.58666667,26.22,9.55,32.72666667,North-East
2014,June,4.256725146,3.051578947,3.438830409,3.709473684,29.16,30.78,26.87,12.83333333,37.88666667,South-East
2014,June,5.213333333,3.451111111,3.853333334,4.353333333,29.50666667,31.63333333,26.92333333,9.693333333,42.12,South-West
2014,June,6.589808081,4.567218615,5.378051948,6.092748918,28.88791667,32.20194445,25.80194444,6.824305556,31.51416667,West
2014,July,6.610035842,4.556272401,5.746236559,6.174910394,28.58709678,31.56290323,25.98387097,7.156451613,34.31612903,Central
2014,July,7.077419355,5.083870967,6.580645162,6.990322581,29.32580645,32.40322581,26.47741935,5.070967742,28.5516129,Central Business District and Surrounding
2014,July,4.796313364,3.788172043,4.356989247,4.548387097,29.00967742,31.89784946,26.12795699,9.098924731,35.13225806,East
2014,July,4.780645161,3.76344086,4.350537634,4.509677419,28.52688172,31.53763441,25.99032258,8.273118279,33.24623656,Islands
